,year,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,linear_constant_res,linear_constant_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
0,2014,304.38430497999997,1363.1164099,215.39425264,427.77626759,7315.237607999999,401140.9772,0,0,0,0,0.174,1
1,2015,290.36093135,1330.8369563999997,205.26176558999998,417.38676301,7160.153362000001,392636.7222,0,0,0,0,0.174,1
2,2016,276.33755765,1298.5575029,195.12927847000003,406.99725842999993,7005.069117,384132.4673,0,0,0,0,0.174,1
3,2017,262.31418395,1266.2780486999998,184.99679135,396.60775392,6849.984871,375628.2123,0,0,0,0,0.174,1
4,2018,248.29081025,1233.9985952,174.86430430000001,386.21824934,6694.900626,367123.9573,0,0,0,0,0.174,1
5,2019,250.4383637,1247.4779575999999,176.38221643,389.7593741999999,6748.062726,370039.1732,0,0,0,0,0.174,1
6,2020,229.99976999999998,1187.746168,161.67469044999999,371.4524256799999,6469.5995,354769.2644,0,0,0,0,0.174,1
7,2021,209.90968012,1137.6230263999998,147.17443957999998,355.67293279,6233.758013000001,341836.5766,0,0,0,0,0.174,1
8,2022,189.80490312000003,1087.5211641,132.66545341,339.83941418,5996.120295000001,328805.39,0,0,0,0,0.174,1
9,2023,170.01836201,1045.9706354999998,118.34574038000001,326.28640156,5797.402578,317908.4344,0,0,0,0,0.174,1
10,2024,150.48490961,1011.1390121,104.17655366999999,314.53696378999996,5629.637409,308708.8038,0,0,0,0,0.174,1
11,2025,131.151965,981.5785238,90.12662035999999,304.21000735999996,5486.394179999999,300853.86699999997,0,0,0,0,0.174,1
12,2026,123.07225203,958.1721274999999,84.3170174,296.87804349,5372.374389,294601.4371,0,0,0,0,0.174,1
13,2027,115.98810348999999,936.9487455999999,79.22768777,290.24540461,5268.550249,288908.0996,0,0,0,0,0.174,1
14,2028,110.12734242999998,917.6693217999999,75.02734861999998,284.27763875,5173.867365,283716.0352,0,0,0,0,0.174,1
15,2029,104.75673662999999,898.0932295999999,71.18946604,278.27677227,5077.381195,278425.0852,0,0,0,0,0.174,1
16,2030,99.91418758999997,880.2458412999998,67.730423362,272.80225707,4989.088461,273583.4334,0,0,0,0,0.174,1
17,2031,98.66526026,869.2427680999999,66.883793067,269.39222884,4926.724856,270163.6405,0,0,0,0,0.174,1
18,2032,97.41633293,858.2396948999999,66.037162772,265.98220061,4864.36125,266743.8475,0,0,0,0,0.174,1
19,2033,96.16740560000001,847.2366224,65.190532484,262.57217245,4801.997644,263324.0546,0,0,0,0,0.174,1
20,2034,94.9184782,836.2335492000001,64.34390218899999,259.16214422,4739.634038,259904.2617,0,0,0,0,0.174,1
21,2035,93.66955086999998,825.230476,63.49727190099999,255.75211598999996,4677.270433,256484.4688,0,0,0,0,0.174,1
22,2036,92.42062353999998,814.2274027999999,62.65064160599999,252.34208776,4614.906827000001,253064.6759,0,0,0,0,0.174,1
23,2037,91.17169621000001,803.2243302999999,61.804011318,248.93205959999995,4552.543221,249644.883,0,0,0,0,0.174,1
24,2038,89.92276881,792.2212570999999,60.957381022999996,245.52203136999998,4490.179615,246225.09,0,0,0,0,0.174,1
25,2039,88.67384148000001,781.2181839,60.110750728,242.11200313999996,4427.8160100000005,242805.2971,0,0,0,0,0.174,1
26,2040,87.42491414999999,770.2151107,59.26412043999999,238.70197491,4365.452404,239385.5042,0,0,0,0,0.174,1
27,2041,86.17598681999998,759.2120381999999,58.417490144999995,235.29194674999997,4303.088798,235965.7113,0,0,0,0,0.174,1
28,2042,84.92705948999999,748.2089649999999,57.570859857,231.88191852,4240.725192,232545.9184,0,0,0,0,0.174,1
29,2043,83.67813209,737.2058918,56.724229562,228.47189028999998,4178.361586,229126.1255,0,0,0,0,0.174,1
30,2044,82.42920475999999,726.2028186,55.877599274,225.06186206,4115.997981,225706.3325,0,0,0,0,0.174,1
31,2045,81.18027742999999,715.1997461,55.030968978999994,221.6518339,4053.634375,222286.5396,0,0,0,0,0.174,1
32,2046,79.93135009999999,704.1966729,54.184338684,218.24180567,3991.2707689999997,218866.7467,0,0,0,0,0.174,1
33,2047,78.68242277,693.19359991,53.33770839599999,214.83177743999997,3928.9071630000003,215446.9538,0,0,0,0,0.174,1
34,2048,77.43349536999999,682.19052685,52.49107810099999,211.42174921,3866.543558,212027.1609,0,0,0,0,0.174,1
35,2049,76.18456804,671.1874538599999,51.644447813,208.01172105,3804.1799520000004,208607.36800000002,0,0,0,0,0.174,1
36,2050,74.93564071,660.1843808699999,50.797817517999995,204.60169282,3741.816346,205187.575,0,0,0,0,0.174,1
